show_id,actor
s2,Ama Qamata
s2,Khosi Ngema
s2,Gail Mabalane
s2,Thabang Molaba
s2,Dillon Windvogel
s3,Sami Bouajila
s3,Tracy Gotoas
s3,Samuel Jouy
s3,Nabiha Akkari
s3,Sofia Lesaffre
s5,Mayur More
s5,Jitendra Kumar
s5,Ranjan Raj
s5,Alam Khan
s5,Ahsaas Channa
s6,Kate Siegel
s6,Zach Gilford
s6,Hamish Linklater
s6,Henry Thomas
s6,Kristin Lehman
s7,Vanessa Hudgens
s7,Kimiko Glenn
s7,James Marsden
s7,Sofia Carson
s7,Liza Koshy
s8,Kofi Ghanaba
s8,Oyafunmike Ogunlano
s8,Alexandra Duah
s8,Nick Medley
s8,Mutabaruka
s9,Mel Giedroyc
s9,Sue Perkins
s9,Mary Berry
s9,Paul Hollywood
s10,Melissa McCarthy
s10,Chris O'Dowd
s10,Kevin Kline
s10,Timothy Olyphant
s10,Daveed Diggs
s12,Sukollawat Kanarot
s12,Sushar Manaying
s12,Pavarit Mongkolpisit
s12,Sahajak Boonthanakit
s12,Suthipongse Thatphithakkul
s13,Luna Wedler
s13,Jannis Niewöhner
s13,Milan Peschel
s13,Edin Hasanović
s13,Anna Fialová
s14,Klara Castanho
s14,Lucca Picon
s14,Júlia Gomes
s14,Marcus Bessa
s14,Kiria Malheiros
s16,Logan Browning
s16,Brandon P. Bell
s16,DeRon Horton
s16,Antoinette Robertson
s16,John Patrick Amedori
s18,Luis Ernesto Franco
s18,Camila Sodi
s18,Sergio Goyri
s18,Samadhi Zendejas
s18,Eduardo Yáñez
s19,Freida Pinto
s19,Logan Marshall-Green
s19,Robert John Burke
s19,Megan Elisabeth Kelly
s19,Sarah Minnich
s20,Blanca Suárez
s20,Iván Marcos
s20,Óscar Casas
s20,Adrián Lastra
s20,Francesc Garrido
s22,Engin Altan Düzyatan
s22,Serdar Gökhan
s22,Hülya Darcan
s22,Kaan Taşaner
s22,Esra Bilgiç
s23,Kamal Hassan
s23,Meena
s23,Gemini Ganesan
s23,Heera Rajgopal
s23,Nassar
